tb_latitude,tb_longitude,victim_role,point,collision_datetime,accident_year,number_killed,number_injured,primary_rd,secondary_rd
37.7697782489,-122.403899998,Bicyclist,POINT (-122.403899998 37.769778249),11/13/2018 06:16:00 PM,2018,0.0,1,DIVISION ST,HENRY ADAMS ST
37.77891299309998,-122.51347651800002,Bicyclist,POINT (-122.513476518 37.778912993),10/31/2018 04:29:00 PM,2018,0.0,1,POINT LOBOS AVE,MERRIE WAY
37.72639980640411,-122.43722357392146,Bicyclist,POINT (-122.437223574 37.726399806),05/27/2022 04:46:00 PM,2022,0.0,1,CAYUGA AVE,SANTA ROSA AVE
37.761673469299986,-122.422029333,Bicyclist,POINT (-122.422029333 37.761673469),04/22/2019 07:25:00 PM,2019,0.0,1,18TH ST,VALENCIA ST
37.7310323551,-122.47179743599996,Bicyclist,POINT (-122.471797436 37.731032355),02/21/2021 03:10:00 PM,2021,0.0,1,JUNIPERO SERRA BLVD,OCEAN AVE
37.75742952382343,-122.41234804070268,Bicyclist,POINT (-122.412348041 37.757429524),11/08/2021 04:20:00 PM,2021,0.0,1,HARRISON ST,21ST ST
37.77142839549999,-122.45397952199998,Bicyclist,POINT (-122.453979522 37.771428395),09/17/2019 04:49:00 PM,2019,0.0,1,STANYAN ST,FELL ST
37.77435867479998,-122.42025427900002,Bicyclist,POINT (-122.420254279 37.774358675),10/26/2018 04:19:00 PM,2018,0.0,1,MARKET ST,PAGE ST
37.80228098349998,-122.424731259,Bicyclist,POINT (-122.424731259 37.802280983),03/13/2019 05:27:00 PM,2019,0.0,1,VAN NESS AVE,CHESTNUT ST
37.73237849099999,-122.498010298,Bicyclist,POINT (-122.498010298 37.732378491),01/26/2022 02:00:00 PM,2022,0.0,1,SKYLINE BLVD,LAKE MERCED BLVD
37.761181191499986,-122.414908715,Bicyclist,POINT (-122.414908715 37.761181191),06/22/2021 12:13:00 PM,2021,0.0,1,FOLSOM ST,18TH ST
37.79923448266368,-122.397669949011,Bicyclist,POINT (-122.397669949 37.799234483),04/28/2022 04:30:00 PM,2022,0.0,1,THE EMBARCADERO,BROADWAY
37.7708151015,-122.486723504,Bicyclist,POINT (-122.486723504 37.770815101),01/15/2019 06:45:00 PM,2019,0.0,1,JOHN F KENNEDY DR,30TH AVE
37.7329487819705,-122.40465709732966,Bicyclist,POINT (-122.404657097 37.732948782),10/29/2021 08:37:00 AM,2021,0.0,1,BAY SHORE BLVD,SILVER AVE
37.748664501,-122.438246126,Bicyclist,POINT (-122.438246126 37.748664501),09/06/2019 06:41:00 PM,2019,0.0,1,CLIPPER ST,DOUGLASS ST
37.78524549310001,-122.405211502,Bicyclist,POINT (-122.405211502 37.785245493),03/10/2019 11:56:00 AM,2019,0.0,1,04TH ST,STEVENSON ST
37.7398250578,-122.423618167,Bicyclist,POINT (-122.423618167 37.739825058),05/27/2020 12:11:00 PM,2020,0.0,1,MISSION ST,RANDALL ST
37.77561638669998,-122.41858504799998,Bicyclist,POINT (-122.418585048 37.775616387),07/10/2018 04:29:00 PM,2018,0.0,1,MARKET ST,11TH ST
37.772995405999986,-122.445902366,Bicyclist,POINT (-122.445902366 37.772995406),07/07/2020 03:52:00 PM,2020,0.0,1,FELL ST,MASONIC AVE
37.76650285569999,-122.46414174999995,Bicyclist,POINT (-122.46414175 37.766502856),03/08/2022 04:49:00 PM,2022,0.0,1,MARTIN LUTHER KING JR DR,07TH AVE
37.76875414409999,-122.42225815499997,Bicyclist,POINT (-122.422258155 37.768754144),09/15/2019 03:25:00 PM,2019,0.0,1,VALENCIA ST,BROSNAN ST
37.76800642499999,-122.42441169,Bicyclist,POINT (-122.42441169 37.768006425),09/17/2018 09:30:00 AM,2018,0.0,1,14TH ST,GUERRERO ST
37.77903213359999,-122.40184327299998,Bicyclist,POINT (-122.401843273 37.779032134),06/11/2019 06:22:00 PM,2019,0.0,1,05TH ST,HARRISON ST
37.716539887100005,-122.44117212899997,Bicyclist,POINT (-122.441172129 37.716539887),05/01/2019 06:13:00 AM,2019,0.0,1,GENEVA AVE,MISSION ST
37.779008366099994,-122.414445712,Bicyclist,POINT (-122.414445712 37.779008366),07/13/2018 08:25:00 PM,2018,0.0,1,MARKET ST,HYDE ST
37.7963450351,-122.41172985199998,Bicyclist,POINT (-122.411729852 37.796345035),02/22/2019 03:30:00 PM,2019,0.0,1,MASON ST,PACIFIC AVE
37.78096231579999,-122.44743673499998,Bicyclist,POINT (-122.447436735 37.780962316),12/17/2018 07:32:00 PM,2018,0.0,1,MASONIC AVE,OFARRELL ST
37.78482433840578,-122.41952024683322,Bicyclist,POINT (-122.419520247 37.784824338),07/06/2022 04:40:00 PM,2022,0.0,0,POLK ST,OFARRELL ST
37.78142837121555,-122.43232898190308,Bicyclist,POINT (-122.432328982 37.781428371),08/07/2022 01:55:00 PM,2022,0.0,1,EDDY ST,FILLMORE ST
37.7650139416,-122.39870336600002,Bicyclist,POINT (-122.398703366 37.765013942),01/25/2022 05:27:00 PM,2022,0.0,1,17TH ST,ARKANSAS ST
